Sample	Caspase Value
CONT_M.MUS.musP	406.898
CONT_M.MUS.musP	358.862
CONT_M.MUS.musP	666.861
CONT_M.MUS.musP	545.357
CONT_M.MUS.musP	412.55
CONT_M.MUS.musP	421.027
CONT_M.MUS.musP	890.09
CONT_M.MUS.musP	712.072
IRRAD_M.MUS.musP	763.685
IRRAD_M.MUS.musP	1133.031
IRRAD_M.MUS.musP	644.273
IRRAD_M.MUS.musP	424.887
IRRAD_M.MUS.musP	1074.714
IRRAD_M.MUS.musP	1644.006
IRRAD_M.MUS.musP	688.705
IRRAD_M.MUS.musP	752.577
IRRAD_M.MUS.musP	955.301
IRRAD_M.MUS.musP	910.868
IRRAD_M.MUS.musP	316.582
IRRAD_M.MUS.musP	224.94
CONT_M.MUS.musM	217.578
CONT_M.MUS.musM	471.889
CONT_M.MUS.musM	1209.392
CONT_M.MUS.musM	745.98
CONT_M.MUS.musM	729.026
CONT_M.MUS.musM	471.889
CONT_M.MUS.musM	525.577
CONT_M.MUS.musM	765.76
IRRAD_M.MUS.musM	1402.404
IRRAD_M.MUS.musM	1541.256
IRRAD_M.MUS.musM	1943.927
IRRAD_M.MUS.musM	355.461
IRRAD_M.MUS.musM	1621.79
IRRAD_M.MUS.musM	1816.183
IRRAD_M.MUS.musM	1130.255
IRRAD_M.MUS.musM	1746.757
IRRAD_M.MUS.musM	1671.777
IRRAD_M.MUS.musM	1502.378
IRRAD_M.MUS.musM	394.339
IRRAD_M.MUS.musM	305.474
CONT_M.MUS.musB	898.567
CONT_M.MUS.musB	1085.063
CONT_M.MUS.musB	553.834
CONT_M.MUS.musB	813.797
CONT_M.MUS.musB	545.357
CONT_M.MUS.musB	680.99
CONT_M.MUS.musB	257.137
IRRAD_M.MUS.musB	877.544
IRRAD_M.MUS.musB	691.482
IRRAD_M.MUS.musB	2193.86
IRRAD_M.MUS.musB	399.893
IRRAD_M.MUS.musB	1435.729
IRRAD_M.MUS.musB	2143.874
IRRAD_M.MUS.musB	1049.72
IRRAD_M.MUS.musB	722.03
IRRAD_M.MUS.musB	1716.21
IRRAD_M.MUS.musB	1502.378
IRRAD_M.MUS.musB	283.258
IRRAD_M.MUS.musB	261.042
